ts_utc,repo,commit,scheme,bench_name,chain_profile,gas_verify,security_metric_type,security_metric_value,gas_per_secure_bit,hash_profile,security_model,surface_class,notes,depends_on,provenance,vector_pack_ref,vector_pack_id,vector_id
2025-12-17T01:43:18Z,gas-per-secure-bit,000ac78bf5e884991a8f156ad4e79dc6086f050d,ecdsa,ecdsa_verify_ecrecover_foundry,EVM/L1,21126,lambda_eff,128.0,165.046875,keccak256,,,"bench/ecdsa: ecrecover verify (v,r,s)",,,,,
2025-12-17T01:43:18Z,gas-per-secure-bit,000ac78bf5e884991a8f156ad4e79dc6086f050d,ecdsa,ecdsa_verify_bytes65_foundry,EVM/L1,24032,lambda_eff,128.0,187.75,keccak256,,,bench/ecdsa: verifyBytes(sig=65 bytes r||s||v),,,,,
2025-12-17T01:43:18Z,gas-per-secure-bit,000ac78bf5e884991a8f156ad4e79dc6086f050d,ecdsa,ecdsa_erc1271_isValidSignature_foundry,EVM/L1,21413,lambda_eff,128.0,167.2890625,keccak256,,,"bench/ecdsa: ERC-1271 wallet isValidSignature(bytes32,bytes)",,,,,
2025-12-19T19:33:40Z,gas-per-secure-bit,05707c004409d6ce66468c749162e7c013af0ce9,ecdsa,l1_envelope_assumption,EVM/L1,0,security_equiv_bits,128.0,0.0,protocol,,,Protocol-level signature envelope assumption for L1 transactions (weakest-link baseline).,,,,,
2025-12-19T19:56:20Z,gas-per-secure-bit,eacdff766f3f23f07dc9881907baf583f33a5263,entropy,randao_hash_based_assumption,EVM/L1,0,H_min,128.0,0.0,keccak256,raw,Entropy_attestation,Baseline assumption node: hash-based RANDAO-style randomness surface (min-entropy declared under threat_model).,,,,,
2025-12-19T19:56:28Z,gas-per-secure-bit,eacdff766f3f23f07dc9881907baf583f33a5263,vrf_pq,pq_vrf_target_assumption,EVM/L1,0,H_min,192.0,0.0,keccak256,raw,Entropy_attestation,Baseline target node: PQ VRF / attested entropy surface (declared min-entropy under threat_model).,,,,,
2026-01-03T00:56:05Z,pipavlo82/ml-dsa-65-ethereum-verification,d9aabc14cf13fc227c46d06cdaef17f74b069790,mldsa65,verify_poc_foundry,EVM/L1,68901612,lambda_eff,128.0,538293.84375,unknown,,,ml-dsa-65-ethereum-verification (ref=feature/mldsa-ntt-opt-phase12-erc7913-packedA; needle=test_verify_gas_poc),,"{""repo"":""pipavlo82/ml-dsa-65-ethereum-verification"",""commit"":""d9aabc14cf13fc227c46d06cdaef17f74b069790"",""path"":""vendors/ml-dsa-65-ethereum-verification""}",pipavlo82/pqevm-vector-packs@05988be4f37394b21257d2b5e6c639b4746b698a:packs/mldsa65_fips204,5d3e99cb335072a30391f08655398b590634897d953a97d539a6c8e2d20183ed,mldsa65_fips204_vector_001
2026-01-03T00:56:08Z,pipavlo82/ml-dsa-65-ethereum-verification,d9aabc14cf13fc227c46d06cdaef17f74b069790,mldsa65,preA_compute_w_fromPackedA_ntt_rho0_log,EVM/L1,1499354,lambda_eff,128.0,11713.703125,unknown,,,ml-dsa-65-ethereum-verification (ref=feature/mldsa-ntt-opt-phase12-erc7913-packedA; needle=gas_compute_w_fromPacked_A_ntt(rho0)),,"{""repo"":""pipavlo82/ml-dsa-65-ethereum-verification"",""commit"":""d9aabc14cf13fc227c46d06cdaef17f74b069790"",""path"":""vendors/ml-dsa-65-ethereum-verification""}",pipavlo82/pqevm-vector-packs@05988be4f37394b21257d2b5e6c639b4746b698a:packs/mldsa65_fips204,5d3e99cb335072a30391f08655398b590634897d953a97d539a6c8e2d20183ed,mldsa65_fips204_vector_001
2026-01-03T00:56:11Z,pipavlo82/ml-dsa-65-ethereum-verification,d9aabc14cf13fc227c46d06cdaef17f74b069790,mldsa65,preA_compute_w_fromPackedA_ntt_rho1_log,EVM/L1,1499354,lambda_eff,128.0,11713.703125,unknown,,,ml-dsa-65-ethereum-verification (ref=feature/mldsa-ntt-opt-phase12-erc7913-packedA; needle=gas_compute_w_fromPacked_A_ntt(rho1)),,"{""repo"":""pipavlo82/ml-dsa-65-ethereum-verification"",""commit"":""d9aabc14cf13fc227c46d06cdaef17f74b069790"",""path"":""vendors/ml-dsa-65-ethereum-verification""}",pipavlo82/pqevm-vector-packs@05988be4f37394b21257d2b5e6c639b4746b698a:packs/mldsa65_fips204,5d3e99cb335072a30391f08655398b590634897d953a97d539a6c8e2d20183ed,mldsa65_fips204_vector_001
2026-01-04T14:19:37Z,QuantumAccount,1970dcad8907c5dcb0df5ae51ea962b10fc3227b,falcon,falcon_getUserOpHash_via_entry,EVM/L1,218333,security_equiv_bits,256.0,852.86328125,unknown,standalone,aa::getUserOpHash,sec256=256 gpb256=852.86328125,,,,,
